,UNDERWRITING_YEAR,TYPE_OF_COVER,PAYMENT_METHOD,SUM_INSURED,COMPANY_LOADINGS,COMMISION_RATE,LOADINGS,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,TRANSACTION_TYPE,AGENT_CONTRACT_CATEGORY,CLIENT_GENDER,CLIENT_MARITAL_STATUS,CLIENT_OCCUPATION,CLIENT_POLITICAL_PERSON_FLAG,HIGH_RISK_FLAG,CLIENT_NUMBER_OF_DEPENDENTS,CLIENT_SMOKER_FLAG,CLIENT_FAMILY_SIZE,ORIGINAL_UNDERWRITING_YEAR,POLICY_TERM,INSURED_TYPE,RENEWAL_TYPE,CO_INSURANCE,BODILY_INJURY_LIMIT,VEHICLE_MAKE,VEHICLE_YEAR,ADDITIONAL_PERILS,FOREIGN_USED,CUBIC_CENTIMETERS,VEHICLE_MODIFIED,SEATING_CAPACITY,ANTI_THEFT_DEVICE,LEFT_HAND_DRIVE,OPEN_RESTRICTED_FLAG,PA_COVERAGE,PA_DRIVER_INCLUDED,MOTOR_ASSIST,VEHICLE_CONDITION,PREMIUM_CHARGED,HAS_CLAIMED_IN_NEXT_12_MONTHS,CLIENT_CLASS,FLAG_VEHICLE_CONDITION,VEHICLE_AGE,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,FLAG_VEHICLE_TYPE_ON_SEATING_CAPACITY,POLICY_HISTORY_AGE
7088,2018,Comp,Debit Card,160211.0,0.3,0.15,0.12,0.26,0.38,Renewal,Broker,M,D,Lawyer,N,N,4,N,4,2018,12,Individual,Renewal,Y,185000,Mercury,1998,No Additional Perils,N,1381,Y,6,Y,N,O,Y,Y,Y,New,15553.61711888,0,EXPERIENCED,OLD,20,0,SUV,0
7089,2019,Comp,Debit Card,152200.45,0.35,0.15,0.12,0.26,0.38,Renewal,Broker,M,D,Lawyer,N,N,4,N,4,2018,12,Individual,Renewal,Y,185000,Mercury,1998,No Additional Perils,N,1381,Y,6,Y,N,O,Y,Y,Y,New,15912.5467447003,0,EXPERIENCED,OLD,21,0,SUV,1
7091,2019,TP,Credit Card,96345.0,0.3,0.1,0.1,0.19,0.27,Renewal,Cash Salesmen,M,L,Waiter,N,N,2,N,5,2019,12,Individual,Renewal,Y,250000,Hyundai,2004,Special Perils,N,1369,Y,2,Y,N,O,N,N,Y,New,1965.42354825,0,YOUNG,OLD,15,0,MICRO,0
7097,2018,Comp,Credit Card,122019.0,0.3,0.15,0.1,0.24,0.32,Renewal,Broker,F,S,Social Worker,N,N,2,N,4,2018,12,Individual,Renewal,Y,109000,Suzuki,1997,Special Perils,N,1031,Y,3,Y,N,O,N,Y,Y,Second Hand,13105.0985830286,0,EXPERIENCED,OLD,21,0,COMPACT,0
7098,2019,Comp,Credit Card,115918.05,0.35,0.15,0.1,0.24,0.32,Renewal,Broker,F,S,Social Worker,N,N,2,N,4,2018,12,Individual,Renewal,Y,109000,Suzuki,1997,Special Perils,N,1031,Y,3,Y,N,O,N,Y,Y,Second Hand,13407.5239349446,0,EXPERIENCED,OLD,22,0,COMPACT,1
7103,2018,Comp,Credit Card,125487.0,0.3,0.0,0.12,0.24,0.36,Renewal,Direct,M,L,Govt. Officer,N,Y,2,N,5,2018,12,Individual,Renewal,Y,36000,Jeep,2010,Special Perils,N,1916,Y,4,N,N,O,N,N,Y,Second Hand,11230.7853312,0,YOUNG,NEW,8,0,COMPACT,0
7104,2019,Comp,Credit Card,119212.65,0.35,0.0,0.12,0.24,0.36,Renewal,Direct,M,L,Govt. Officer,N,Y,2,N,5,2018,12,Individual,Renewal,Y,36000,Jeep,2010,Special Perils,N,1916,Y,4,N,N,O,N,N,Y,Second Hand,11489.9573003815,0,YOUNG,NEW,9,0,COMPACT,1
7109,2018,TP,Cash,115349.0,0.3,0.1,0.1,0.25,0.38,Renewal,Cash Salesmen,M,D,Driver for Uber,N,N,2,Y,3,2018,12,Individual,Renewal,Y,199000,BMW,2004,Riot & Special Perils,N,1361,Y,2,Y,N,O,N,N,N,New,1850.4863325,0,EXPERIENCED,OLD,14,0,MICRO,0
7110,2019,TP,Cash,109581.55,0.35,0.1,0.1,0.25,0.38,Renewal,Cash Salesmen,M,D,Driver for Uber,N,N,2,Y,3,2018,12,Individual,Renewal,Y,199000,BMW,2004,Riot & Special Perils,N,1361,Y,2,Y,N,O,N,N,N,New,1897.109511,0,EXPERIENCED,OLD,15,0,MICRO,1
7115,2018,TP,Debit Card,114974.0,0.3,0.1,0.11,0.29,0.33,Renewal,Cash Salesmen,F,S,Driver for Uber,N,Y,2,N,3,2018,12,Corporate,Manual Review Required,Y,223000,Dodge,1998,No Additional Perils,N,1954,Y,5,N,N,O,N,N,N,New,1899.492467414,0,YOUNG,OLD,20,0,COMPACT,0
7116,2019,TP,Debit Card,109225.3,0.35,0.1,0.11,0.29,0.33,Renewal,Cash Salesmen,F,S,Driver for Uber,N,Y,2,N,3,2018,12,Corporate,Manual Review Required,Y,223000,Dodge,1998,No Additional Perils,N,1954,Y,5,N,N,O,N,N,N,New,1952.03994558185,0,YOUNG,OLD,21,0,COMPACT,1
7121,2018,TP,Cash,129724.0,0.3,0.0,0.11,0.23,0.35,Renewal,Assumed Business,F,D,Education Professional,N,N,4,N,5,2018,12,Individual,Renewal,Y,63000,GMC,2006,Riot & Special Perils,N,1590,Y,3,N,N,O,N,N,Y,Second Hand,2105.57813466,0,EXPERIENCED,OLD,12,0,COMPACT,0
7122,2019,TP,Cash,123237.8,0.35,0.0,0.11,0.23,0.35,Renewal,Assumed Business,F,D,Education Professional,N,N,4,N,5,2018,12,Individual,Renewal,Y,63000,GMC,2006,Riot & Special Perils,N,1590,Y,3,N,N,O,N,N,Y,Second Hand,2106.6269532,0,EXPERIENCED,OLD,13,0,COMPACT,1
7127,2018,Comp,Debit Card,124577.0,0.3,0.15,0.09,0.3,0.1,Renewal,Broker,M,D,Govt. Officer,N,N,2,Y,6,2018,12,Individual,Renewal,Y,128000,Buick,2004,No Additional Perils,N,1476,Y,4,Y,N,O,N,N,N,New,16162.27739325,0,EXPERIENCED,OLD,14,0,COMPACT,0
7128,2019,Comp,Debit Card,118348.15,0.35,0.15,0.09,0.3,0.1,Renewal,Broker,M,D,Govt. Officer,N,N,2,Y,6,2018,12,Individual,Renewal,Y,128000,Buick,2004,No Additional Perils,N,1476,Y,4,Y,N,O,N,N,N,New,16535.2530254019,0,EXPERIENCED,OLD,15,0,COMPACT,1
7133,2019,F&T,Online payment,44281.0,0.3,0.15,0.09,0.27,0.35,Renewal,Broker,F,M,Rideshare driver,N,N,1,N,3,2019,12,Individual,No Renewal - Don't Report,Y,31000,Chevrolet,1997,Special Perils,N,1685,Y,5,Y,N,O,N,N,Y,Second Hand,1881.26484255357,0,YOUNG,OLD,22,0,COMPACT,0
7136,2018,Comp,Credit Card,122857.0,0.3,0.0,0.09,0.33,0.28,Renewal,Assumed Business,M,S,Govt. Officer,N,N,2,N,2,2018,12,Individual,Renewal,Y,124000,Isuzu,2006,Special Perils,N,1813,Y,6,Y,N,O,N,Y,Y,New,10612.8861084,0,EXPERIENCED,OLD,12,0,SUV,0
7137,2019,Comp,Credit Card,116714.15,0.35,0.0,0.09,0.33,0.28,Renewal,Assumed Business,M,S,Govt. Officer,N,N,2,N,2,2018,12,Individual,Renewal,Y,124000,Isuzu,2006,Special Perils,N,1813,Y,6,Y,N,O,N,Y,Y,New,10857.7988647477,0,EXPERIENCED,OLD,13,0,SUV,1
7139,2018,TP,Online payment,114765.0,0.3,0.15,0.07,0.23,0.37,Renewal,Broker,M,M,Driver for Uber,N,N,4,N,4,2018,12,Individual,Renewal,Y,24000,Holden,1995,Special Perils,Y,1494,Y,6,Y,N,O,N,N,Y,Foreign Used,1946.31065244,0,EXPERIENCED,OLD,23,0,SUV,0
7140,2019,TP,Online payment,109026.75,0.35,0.15,0.07,0.23,0.37,Renewal,Broker,M,M,Driver for Uber,N,N,4,N,4,2018,12,Individual,Renewal,Y,24000,Holden,1995,Special Perils,Y,1494,Y,6,Y,N,O,N,N,Y,Foreign Used,2002.45422895269,0,EXPERIENCED,OLD,24,0,SUV,1
7142,2018,TP,Credit Card,111299.0,0.3,0.15,0.09,0.24,0.29,Renewal,Broker,M,L,Software Professional,N,N,5,N,5,2018,12,Individual,Renewal,Y,190000,Toyota,2002,No Additional Perils,N,1444,Y,3,N,N,O,N,N,Y,New,2127.216828968,0,EXPERIENCED,OLD,16,0,COMPACT,0
7143,2019,TP,Credit Card,105734.05,0.35,0.15,0.09,0.24,0.29,Renewal,Broker,M,L,Software Professional,N,N,5,N,5,2018,12,Individual,Renewal,Y,190000,Toyota,2002,No Additional Perils,N,1444,Y,3,N,N,O,N,N,Y,New,2200.53249390246,0,EXPERIENCED,OLD,17,0,COMPACT,1
7145,2018,F&T,Credit Card,47240.0,0.3,0.0,0.07,0.19,0.28,Renewal,Direct,M,S,Software Professional,N,N,2,Y,4,2018,12,Individual,Renewal,Y,242000,Hummer,2004,Fire Expl Thft/Brand Expl Dief,N,1488,Y,5,N,N,R,N,N,N,New,2105.63526857143,0,EXPERIENCED,OLD,14,0,COMPACT,0
7146,2019,F&T,Credit Card,44878.0,0.35,0.0,0.07,0.19,0.28,Renewal,Direct,M,S,Software Professional,N,N,2,Y,4,2018,12,Individual,Renewal,Y,242000,Hummer,2004,Fire Expl Thft/Brand Expl Dief,N,1488,Y,5,N,N,R,N,N,N,New,2154.22685169231,0,EXPERIENCED,OLD,15,0,COMPACT,1
7148,2019,Comp,Cash,100949.0,0.3,0.1,0.13,0.13,0.45,Renewal,Cash Salesmen,M,M,Business executive,N,N,2,Y,3,2019,12,Individual,Renewal,Y,51000,Lexus,1999,Special Perils,N,1014,Y,2,Y,N,O,Y,N,Y,New,9864.04153456072,0,EXPERIENCED,OLD,20,0,MICRO,0
7154,2018,F&T,Online payment,105270.0,0.3,0.0,0.13,0.23,0.25,Renewal,Direct,F,D,Sales Person,N,N,3,N,2,2018,12,Individual,Renewal,Y,242000,Audi,2010,Special Perils,N,1143,Y,5,Y,N,O,N,N,Y,Second Hand,4906.897875,0,YOUNG,NEW,8,0,COMPACT,0
7155,2019,F&T,Online payment,100006.5,0.35,0.0,0.13,0.23,0.25,Renewal,Direct,F,D,Sales Person,N,N,3,N,2,2018,12,Individual,Renewal,Y,242000,Audi,2010,Special Perils,N,1143,Y,5,Y,N,O,N,N,Y,Second Hand,5020.13397980769,0,YOUNG,NEW,9,0,COMPACT,1
7157,2019,Comp,Credit Card,108058.0,0.3,0.1,0.07,0.23,0.28,Renewal,Cash Salesmen,M,D,Software Professional,N,N,2,N,4,2019,12,Individual,Renewal,Y,119000,Pontiac,2009,Special Perils,N,1830,Y,3,Y,N,O,N,N,Y,Second Hand,11583.94294728,0,EXPERIENCED,NEW,10,0,COMPACT,0
7163,2018,TP,Online payment,114090.0,0.3,0.15,0.09,0.24,0.36,Renewal,Broker,M,D,Business executive,N,Y,4,N,4,2018,12,Individual,Renewal,Y,122000,Chevrolet,1997,Riot & Srike,N,1210,Y,5,Y,N,O,N,Y,Y,New,1965.57537792,0,EXPERIENCED,OLD,21,0,COMPACT,0
7164,2019,TP,Online payment,108385.5,0.35,0.15,0.09,0.24,0.36,Renewal,Broker,M,D,Business executive,N,Y,4,N,4,2018,12,Individual,Renewal,Y,122000,Chevrolet,1997,Riot & Srike,N,1210,Y,5,Y,N,O,N,Y,Y,New,2033.31998385231,0,EXPERIENCED,OLD,22,0,COMPACT,1
7166,2019,F&T,Debit Card,130973.0,0.3,0.15,0.11,0.28,0.23,Renewal,Broker,M,D,Waiter,N,N,1,Y,5,2019,12,Individual,Manual Review Required,Y,219000,Volkswagen,2010,No Additional Perils,N,1603,Y,5,Y,N,O,N,N,Y,New,6620.6065662,0,EXPERIENCED,NEW,9,0,COMPACT,0
7169,2019,Comp,Online payment,83521.0,0.3,0.15,0.1,0.25,0.32,Renewal,Broker,F,M,Sales Person,N,Y,3,Y,3,2019,12,Corporate,Renewal,Y,194000,Volkswagen,1995,No Additional Perils,N,1763,Y,3,Y,N,O,N,N,Y,New,8852.30130321429,0,EXPERIENCED,OLD,24,0,COMPACT,0
7172,2019,TP,Credit Card,102741.0,0.3,0.15,0.12,0.22,0.23,Renewal,Broker,M,M,Business executive,N,Y,2,N,5,2019,12,Corporate,Renewal,Y,82000,Hummer,2004,Riot & Special Perils,N,1368,Y,4,Y,N,O,N,Y,Y,New,2228.212492506,0,EXPERIENCED,OLD,15,0,COMPACT,0
7175,2018,F&T,Credit Card,137578.0,0.3,0.1,0.08,0.21,0.24,Renewal,Cash Salesmen,M,L,Business executive,N,N,4,N,4,2018,12,Individual,Renewal,Y,110000,Mitsubishi,2011,Special Perils,N,1480,Y,6,Y,Y,O,Y,N,Y,New,7009.3553904,0,EXPERIENCED,NEW,7,0,SUV,0
7176,2019,F&T,Credit Card,130699.1,0.35,0.1,0.08,0.21,0.24,Renewal,Cash Salesmen,M,L,Business executive,N,N,4,N,4,2018,12,Individual,Renewal,Y,110000,Mitsubishi,2011,Special Perils,N,1480,Y,6,Y,Y,O,Y,N,Y,New,7171.10974556308,0,EXPERIENCED,NEW,8,0,SUV,1
7178,2018,Comp,Credit Card,126136.0,0.3,0.15,0.08,0.25,0.38,Renewal,Broker,M,S,Software Professional,N,N,4,N,2,2018,12,Individual,Renewal,Y,237000,Toyota,2003,No Additional Perils,N,1369,Y,2,N,N,O,Y,N,N,Second Hand,11967.7746702857,0,EXPERIENCED,OLD,15,0,MICRO,0
7179,2019,TP,Credit Card,119829.2,0.35,0.15,0.08,0.25,0.38,Policy Downgrade,Broker,M,S,Software Professional,N,N,4,N,2,2018,12,Individual,Renewal,Y,237000,Toyota,2003,No Additional Perils,N,1369,Y,2,N,N,O,Y,N,N,Second Hand,8029.54959971538,0,EXPERIENCED,OLD,16,1,MICRO,1
7181,2019,Comp,Cash,82906.0,0.3,0.0,0.09,0.24,0.28,Renewal,Assumed Business,M,L,Waiter,N,Y,2,N,4,2019,12,Individual,No renewal - Report,N,139000,Oldsmobile,2003,Riot & Srike,N,1999,Y,5,Y,N,O,N,N,Y,New,8123.78365302857,0,EXPERIENCED,OLD,17,0,COMPACT,0
7184,2018,F&T,Credit Card,130248.0,0.3,0.15,0.1,0.23,0.34,Renewal,Broker,F,S,Business executive,N,N,1,N,2,2018,12,Individual,No Renewal - Don't Report,N,41000,Volvo,2007,No Additional Perils,N,1663,Y,3,N,N,O,N,N,N,New,5980.923036,0,EXPERIENCED,OLD,11,0,COMPACT,0
7185,2019,F&T,Credit Card,123735.6,0.35,0.15,0.1,0.23,0.34,Renewal,Broker,F,S,Business executive,N,N,1,N,2,2018,12,Individual,No Renewal - Don't Report,N,41000,Volvo,2007,No Additional Perils,N,1663,Y,3,N,N,O,N,N,N,New,6118.94433683077,0,EXPERIENCED,OLD,12,0,COMPACT,1
7187,2019,Comp,Online payment,142252.0,0.3,0.15,0.1,0.21,0.42,Renewal,Broker,M,S,Sales Person,N,N,5,Y,5,2019,12,Individual,Renewal,Y,152000,Cadillac,2006,No Additional Perils,N,1826,Y,2,Y,N,O,N,N,Y,New,13545.7729493429,0,EXPERIENCED,OLD,13,0,MICRO,0
7190,2019,Comp,Online payment,108541.0,0.3,0.15,0.11,0.26,0.24,Renewal,Broker,M,M,Social Worker,N,N,4,N,4,2019,12,Individual,Renewal,Y,245000,Chevrolet,2002,No Additional Perils,Y,1252,Y,2,N,N,O,N,Y,Y,Foreign Used,12801.4672635343,0,EXPERIENCED,OLD,17,0,MICRO,0
7196,2018,Comp,Cash,134662.0,0.3,0.0,0.08,0.27,0.33,Renewal,Direct,M,L,Govt. Officer,N,N,1,Y,5,2018,12,Individual,Manual Review Required,Y,22000,Acura,1995,Special Perils,N,1653,Y,3,Y,N,O,Y,N,N,New,11686.0106823429,0,YOUNG,OLD,23,0,COMPACT,0
7197,2019,TP,Cash,127928.9,0.35,0.0,0.08,0.27,0.33,Policy Downgrade,Direct,M,L,Govt. Officer,N,N,1,Y,5,2018,12,Individual,Manual Review Required,Y,22000,Acura,1995,Special Perils,N,1653,Y,3,Y,N,O,Y,N,N,New,9486.57840425308,0,YOUNG,OLD,24,1,COMPACT,1
7202,2018,Comp,Credit Card,95651.0,0.3,0.0,0.07,0.4,0.35,Renewal,Assumed Business,F,L,Waiter,N,N,1,N,3,2018,12,Individual,Renewal,Y,225000,Mercedes-Benz,1998,No Additional Perils,N,1779,Y,2,N,Y,O,Y,N,N,Second Hand,6557.49094928572,0,EXPERIENCED,OLD,20,0,MICRO,0
7203,2019,TP,Credit Card,90868.45,0.35,0.0,0.07,0.4,0.35,Policy Downgrade,Assumed Business,F,L,Waiter,N,N,1,N,3,2018,12,Individual,Renewal,Y,225000,Mercedes-Benz,1998,No Additional Perils,N,1779,Y,2,N,Y,O,Y,N,N,Second Hand,3014.1064865,0,EXPERIENCED,OLD,21,1,MICRO,1
7205,2019,F&T,Online payment,92889.0,0.3,0.1,0.13,0.29,0.33,Renewal,Cash Salesmen,M,L,Doctor,N,N,2,Y,4,2019,12,Individual,Renewal,Y,190000,Maybach,2009,Special Perils,N,1223,Y,3,Y,N,O,Y,N,Y,Second Hand,3923.20075313571,0,YOUNG,NEW,10,0,COMPACT,0
7208,2018,TP,Online payment,107071.0,0.3,0.0,0.1,0.24,0.31,Renewal,Direct,F,D,Waiter,N,N,3,N,4,2018,12,Corporate,Renewal,Y,104000,Toyota,2003,Special Perils,N,1128,Y,5,Y,N,O,Y,N,N,New,1807.96664328,0,EXPERIENCED,OLD,15,0,COMPACT,0
7209,2019,TP,Online payment,101717.45,0.35,0.0,0.1,0.24,0.31,Renewal,Direct,F,D,Waiter,N,N,3,N,4,2018,12,Corporate,Renewal,Y,104000,Toyota,2003,Special Perils,N,1128,Y,5,Y,N,O,Y,N,N,New,1805.37519563077,0,EXPERIENCED,OLD,16,0,COMPACT,1
7211,2019,Comp,Cash,94941.0,0.3,0.0,0.11,0.23,0.27,Renewal,Direct,M,M,Waiter,N,N,5,N,4,2019,12,Individual,No Renewal - Don't Report,Y,213000,Chevrolet,2000,Riot & Special Perils,N,1397,Y,3,Y,Y,R,N,N,N,New,9731.73257595,0,EXPERIENCED,OLD,19,0,COMPACT,0
7214,2018,TP,Cash,108709.0,0.3,0.15,0.09,0.28,0.28,Renewal,Broker,M,D,Lawyer,N,N,3,N,4,2018,12,Individual,Renewal,Y,75000,GMC,2001,Fire Expl Thft/Brand Expl Dief,N,1662,Y,5,Y,N,O,N,N,Y,New,1996.085089152,0,EXPERIENCED,OLD,17,0,COMPACT,0
7215,2019,TP,Cash,103273.55,0.35,0.15,0.09,0.28,0.28,Renewal,Broker,M,D,Lawyer,N,N,3,N,4,2018,12,Individual,Renewal,Y,75000,GMC,2001,Fire Expl Thft/Brand Expl Dief,N,1662,Y,5,Y,N,O,N,N,Y,New,2064.88122858831,0,EXPERIENCED,OLD,18,0,COMPACT,1
7220,2018,TP,Cash,83727.0,0.3,0.1,0.12,0.25,0.26,Renewal,Cash Salesmen,F,S,Driver for Uber,N,N,1,N,2,2018,12,Individual,No Renewal - Don't Report,Y,154000,Hyundai,1998,No Additional Perils,N,1767,Y,4,N,Y,O,N,N,Y,New,1624.5382356,0,EXPERIENCED,OLD,21,0,COMPACT,0
7223,2019,TP,Cash,109916.0,0.3,0.15,0.12,0.26,0.27,Renewal,Broker,F,L,Driver for Uber,N,N,3,N,3,2019,12,Individual,No renewal - Report,Y,14000,Isuzu,2006,Riot & Special Perils,N,1238,Y,2,Y,N,O,Y,Y,Y,New,2144.089863752,0,EXPERIENCED,OLD,13,0,MICRO,0
7226,2019,Comp,Online payment,87351.0,0.3,0.15,0.1,0.24,0.3,Renewal,Broker,F,S,Software Professional,N,N,1,Y,4,2019,12,Individual,Renewal,Y,209000,Pontiac,1985,Special Perils,Y,1325,Y,5,Y,N,O,N,N,Y,Foreign Used,9657.613911,0,EXPERIENCED,OLD,35,0,COMPACT,0
7229,2018,Comp,Debit Card,110753.0,0.3,0.0,0.13,0.19,0.36,Renewal,Assumed Business,M,L,Waiter,N,N,1,N,5,2018,12,Individual,Renewal,Y,28000,Volkswagen,2008,Fire Expl Thft/Brand Expl Dief,N,1342,Y,2,Y,N,R,N,N,N,New,10658.5649403429,0,EXPERIENCED,NEW,10,0,MICRO,0
7230,2019,TP,Debit Card,105215.35,0.35,0.0,0.13,0.19,0.36,Policy Downgrade,Assumed Business,M,L,Waiter,N,N,1,N,5,2018,12,Individual,Renewal,Y,28000,Volkswagen,2008,Fire Expl Thft/Brand Expl Dief,N,1342,Y,2,Y,N,R,N,N,N,New,4148.46319375385,0,EXPERIENCED,OLD,11,1,MICRO,1
7232,2018,TP,Online payment,83125.0,0.3,0.15,0.1,0.3,0.37,Renewal,Broker,M,L,Software Professional,N,N,4,N,4,2018,12,Individual,No Renewal - Don't Report,Y,30000,Pontiac,2000,Special Perils,N,1578,Y,3,Y,N,O,N,N,Y,Second Hand,1306.86215625,0,EXPERIENCED,OLD,18,0,COMPACT,0
7233,2019,TP,Online payment,78968.75,0.35,0.15,0.1,0.3,0.37,Renewal,Broker,M,L,Software Professional,N,N,4,N,4,2018,12,Individual,No Renewal - Don't Report,Y,30000,Pontiac,2000,Special Perils,N,1578,Y,3,Y,N,O,N,N,Y,Second Hand,1355.50466826923,0,EXPERIENCED,OLD,19,0,COMPACT,1
7235,2017,TP,Credit Card,73285.0,0.3,0.0,0.1,0.12,0.33,Renewal,Assumed Business,M,D,Doctor,N,N,3,Y,5,2017,12,Individual,Renewal,Y,174000,Chevrolet,2002,Special Perils,N,1959,Y,2,N,N,O,N,N,N,Second Hand,1391.3245192,0,EXPERIENCED,OLD,16,0,MICRO,0
7236,2019,TP,Credit Card,69620.75,0.35,0.0,0.1,0.12,0.33,Renewal,Assumed Business,M,D,Doctor,N,N,3,Y,5,2017,12,Individual,Renewal,Y,174000,Chevrolet,2002,Special Perils,N,1959,Y,2,N,N,O,N,N,N,Second Hand,1389.33026523077,0,EXPERIENCED,OLD,17,0,MICRO,1
7238,2018,Comp,Credit Card,135604.0,0.3,0.0,0.12,0.32,0.23,Renewal,Direct,M,M,Software Professional,N,N,2,N,5,2018,12,Individual,Renewal,Y,211000,Acura,2002,Riot & Srike,Y,1457,Y,3,Y,Y,O,N,N,Y,Foreign Used,13064.4148096,0,EXPERIENCED,OLD,16,0,COMPACT,0
7239,2019,TP,Credit Card,128823.8,0.35,0.0,0.12,0.32,0.23,Policy Downgrade,Direct,M,M,Software Professional,N,N,2,N,5,2018,12,Individual,Renewal,Y,211000,Acura,2002,Riot & Srike,Y,1457,Y,3,Y,Y,O,N,N,Y,Foreign Used,11525.6685168082,0,EXPERIENCED,OLD,17,1,COMPACT,1
7241,2018,F&T,Online payment,125538.0,0.3,0.0,0.1,0.29,0.37,Renewal,Direct,F,D,Secretary,N,N,2,N,3,2018,12,Individual,No Renewal - Don't Report,Y,223000,Chrysler,1996,No Additional Perils,N,1188,Y,3,Y,N,O,N,Y,Y,Second Hand,4412.03301,0,EXPERIENCED,OLD,22,0,COMPACT,0
7242,2019,F&T,Online payment,119261.1,0.35,0.0,0.1,0.29,0.37,Renewal,Direct,F,D,Secretary,N,N,2,N,3,2018,12,Individual,No Renewal - Don't Report,Y,223000,Chrysler,1996,No Additional Perils,N,1188,Y,3,Y,N,O,N,Y,Y,Second Hand,4513.84915638462,0,EXPERIENCED,OLD,23,0,COMPACT,1
7250,2018,TP,Online payment,115326.0,0.3,0.0,0.11,0.27,0.2,Renewal,Direct,M,L,Business executive,Y,N,2,N,6,2018,12,Corporate,Renewal,Y,10000,Audi,2000,Special Perils,N,1992,Y,6,Y,N,O,N,N,Y,Second Hand,2184.17295312,0,YOUNG,OLD,18,0,SUV,0
7251,2019,TP,Online payment,109559.7,0.35,0.0,0.11,0.27,0.2,Renewal,Direct,M,L,Business executive,Y,N,2,N,6,2018,12,Corporate,Renewal,Y,10000,Audi,2000,Special Perils,N,1992,Y,6,Y,N,O,N,N,Y,Second Hand,2185.26092086154,0,EXPERIENCED,OLD,19,0,SUV,1
7253,2019,TP,Credit Card,104035.0,0.3,0.1,0.11,0.24,0.25,Renewal,Cash Salesmen,F,M,Software Professional,N,N,4,Y,5,2019,12,Individual,Renewal,Y,42000,Pontiac,1998,Riot & Srike,Y,1927,N,6,N,N,O,N,N,N,Foreign Used,2059.4872635,0,YOUNG,OLD,21,0,SUV,0
7256,2018,Comp,Credit Card,82411.0,0.3,0.1,0.09,0.23,0.25,Renewal,Cash Salesmen,F,S,Software Professional,Y,N,1,Y,4,2018,12,Individual,Renewal,Y,193000,Kia,2009,No Additional Perils,N,1687,Y,4,Y,N,O,N,Y,N,Second Hand,9374.673606375,0,EXPERIENCED,NEW,9,0,COMPACT,0
7257,2019,TP,Credit Card,78290.45,0.35,0.1,0.09,0.23,0.25,Policy Downgrade,Cash Salesmen,F,S,Software Professional,Y,N,1,Y,4,2018,12,Individual,Renewal,Y,193000,Kia,2009,No Additional Perils,N,1687,Y,4,Y,N,O,N,Y,N,Second Hand,7610.25970270024,0,EXPERIENCED,NEW,10,1,COMPACT,1
7259,2019,TP,Credit Card,134725.0,0.3,0.15,0.14,0.23,0.25,Renewal,Broker,M,S,Secretary,N,N,3,N,5,2019,12,Individual,Manual Review Required,Y,228000,Lamborghini,2000,No Additional Perils,N,1598,Y,2,Y,Y,O,N,N,N,New,2845.280851875,0,EXPERIENCED,OLD,19,0,MICRO,0
7262,2019,TP,Credit Card,103030.0,0.3,0.15,0.09,0.29,0.25,Renewal,Broker,M,L,Sales Person,N,N,3,N,3,2019,12,Corporate,Renewal,Y,40000,Suzuki,1999,No Additional Perils,N,1838,Y,3,Y,N,O,N,N,Y,New,1943.2642845,0,EXPERIENCED,OLD,20,0,COMPACT,0
7265,2019,TP,Cash,121556.0,0.3,0.15,0.08,0.29,0.4,Renewal,Broker,M,S,Chef,N,N,4,N,2,2019,12,Individual,Manual Review Required,Y,150000,Mitsubishi,2006,Special Perils,N,1238,Y,4,Y,N,R,Y,N,Y,Second Hand,1822.23870264,0,EXPERIENCED,OLD,13,0,COMPACT,0
7268,2018,Comp,Online payment,123364.0,0.3,0.15,0.1,0.28,0.34,Renewal,Broker,F,M,Business executive,N,N,3,N,4,2018,12,Individual,Renewal,Y,72000,Honda,1999,No Additional Perils,N,1041,Y,5,Y,N,O,N,N,Y,New,12183.0268258286,0,EXPERIENCED,OLD,19,0,COMPACT,0
7269,2019,TP,Online payment,117195.8,0.35,0.15,0.1,0.28,0.34,Policy Downgrade,Broker,F,M,Business executive,N,N,3,N,4,2018,12,Individual,Renewal,Y,72000,Honda,1999,No Additional Perils,N,1041,Y,5,Y,N,O,N,N,Y,New,5599.84610957538,0,EXPERIENCED,OLD,20,1,COMPACT,1
7271,2019,Comp,Credit Card,83170.0,0.3,0.0,0.06,0.26,0.36,Renewal,Direct,M,M,Driver for Uber,N,Y,5,Y,4,2019,12,Individual,Renewal,Y,124000,Maserati,2000,No Additional Perils,N,1771,Y,2,N,N,O,N,N,Y,New,6859.36733257143,0,EXPERIENCED,OLD,20,0,MICRO,0
7274,2018,Comp,Cash,91399.0,0.3,0.1,0.12,0.19,0.21,Renewal,Cash Salesmen,F,S,Waiter,N,N,3,Y,4,2018,12,Individual,Renewal,Y,150000,Buick,2001,Special Perils,N,1595,Y,2,Y,N,O,N,N,N,New,11837.61094824,0,EXPERIENCED,OLD,17,0,MICRO,0
